"protein_name","CellType","enriched"
"pfkfb2","Non-inflammatory_Macrophage","Immune-enriched"
"yod1","Erythroid_Cells","Immune-enriched"
"c4bpb","Hepatocyte_6","Hepatocyte-enriched"
"cd55","Non-inflammatory_Macrophage","Immune-enriched"
"cr2","Mature_B_Cells","Immune-enriched"
"cr1","Non-inflammatory_Macrophage","Immune-enriched"
"cd46","Hepatocyte_3","Hepatocyte-enriched"
"cd34","Periportal_LSECs","EC-enriched"
"hsd11b1","Hepatocyte_1","Hepatocyte-enriched"
"ppp2r5a","Central_venous_LSECs","EC-enriched"
"nenf","Hepatocyte_6","Hepatocyte-enriched"
"cenpf","gamma-delta_T_Cells_2","Immune-enriched"
"rrp15","Erythroid_Cells","Immune-enriched"
"tgfb2","Cholangiocytes","Cholangiocyte-enriched"
"aida","Erythroid_Cells","Immune-enriched"
"susd4","Cholangiocytes","Cholangiocyte-enriched"
"lbr","Erythroid_Cells","Immune-enriched"
"enah","Cholangiocytes","Cholangiocyte-enriched"
"lefty2","Plasma_Cells","Immune-enriched"
"parp1","Plasma_Cells","Immune-enriched"
"guk1","Erythroid_Cells","Immune-enriched"
"galnt2","Hepatocyte_4","Hepatocyte-enriched"
"agt","Hepatocyte_3","Hepatocyte-enriched"
"egln1","Hepatocyte_2","Hepatocyte-enriched"
"tsnax","Erythroid_Cells","Immune-enriched"
"tomm20","Mature_B_Cells","Immune-enriched"
"arid4b","gamma-delta_T_Cells_1","Immune-enriched"
"nid1","Central_venous_LSECs","EC-enriched"
"lgals8","Non-inflammatory_Macrophage","Immune-enriched"
"actn2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"mtr","Portal_endothelial_Cells","EC-enriched"
"fh","Hepatocyte_6","Hepatocyte-enriched"
"cep170","Inflammatory_Macrophage","Immune-enriched"
"sdccag8","Portal_endothelial_Cells","EC-enriched"
"akt3","Central_venous_LSECs","EC-enriched"
"efcab2","Erythroid_Cells","Immune-enriched"
"cnst","Central_venous_LSECs","EC-enriched"
"trim58","Erythroid_Cells","Immune-enriched"
"acp1","Erythroid_Cells","Immune-enriched"
"itgb1bp1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ywhaq","gamma-delta_T_Cells_2","Immune-enriched"
"rrm2","Plasma_Cells","Immune-enriched"
"hpcal1","Portal_endothelial_Cells","EC-enriched"
"ddx1","Hepatocyte_6","Hepatocyte-enriched"
"vsnl1","Hepatocyte_1","Hepatocyte-enriched"
"sdc1","Hepatocyte_4","Hepatocyte-enriched"
"hs1bp3","Non-inflammatory_Macrophage","Immune-enriched"
"apob","Hepatocyte_3","Hepatocyte-enriched"
"fkbp1b","Erythroid_Cells","Immune-enriched"
"tp53i3","Cholangiocytes","Cholangiocyte-enriched"
"ptrhd1","Hepatocyte_6","Hepatocyte-enriched"
"pomc","NK-like_Cells","Immune-enriched"
"dtnb","Non-inflammatory_Macrophage","Immune-enriched"
"rab10","Erythroid_Cells","Immune-enriched"
"mapre3","Hepatocyte_5","Hepatocyte-enriched"
"khk","Hepatocyte_4","Hepatocyte-enriched"
"cgref1","Hepatocyte_3","Hepatocyte-enriched"
"preb","Plasma_Cells","Immune-enriched"
"atraid","Plasma_Cells","Immune-enriched"
"rbks","Hepatocyte_6","Hepatocyte-enriched"
"plb1","Non-inflammatory_Macrophage","Immune-enriched"
"ehd3","Central_venous_LSECs","EC-enriched"
"dpy30","Hepatocyte_6","Hepatocyte-enriched"
"crim1","Portal_endothelial_Cells","EC-enriched"
"vit","gamma-delta_T_Cells_1","Immune-enriched"
"eif2ak2","Portal_endothelial_Cells","EC-enriched"
"qpct","Central_venous_LSECs","EC-enriched"
"ppm1b","Non-inflammatory_Macrophage","Immune-enriched"
"mcfd2","Hepatocyte_1","Hepatocyte-enriched"
"epcam","Cholangiocytes","Cholangiocyte-enriched"
"chac2","Erythroid_Cells","Immune-enriched"
"pnpt1","Portal_endothelial_Cells","EC-enriched"
"efemp1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"commd1","Hepatocyte_6","Hepatocyte-enriched"
"ehbp1","Hepatocyte_4","Hepatocyte-enriched"
"mdh1","Hepatocyte_6","Hepatocyte-enriched"
"slc1a4","Plasma_Cells","Immune-enriched"
"spred2","Hepatocyte_2","Hepatocyte-enriched"
"ppp3r1","Erythroid_Cells","Immune-enriched"
"arhgap25","gamma-delta_T_Cells_1","Immune-enriched"
"nfu1","Hepatocyte_6","Hepatocyte-enriched"
"anxa4","Cholangiocytes","Cholangiocyte-enriched"
"tia1","NK-like_Cells","Immune-enriched"
"tgfa","Cholangiocytes","Cholangiocyte-enriched"
"nagk","Inflammatory_Macrophage","Immune-enriched"
"mcee","Hepatocyte_6","Hepatocyte-enriched"
"paip2b","Hepatocyte_6","Hepatocyte-enriched"
"alms1","gamma-delta_T_Cells_2","Immune-enriched"
"tprkb","Portal_endothelial_Cells","EC-enriched"
"stambp","Hepatocyte_6","Hepatocyte-enriched"
"mthfd2","Plasma_Cells","Immune-enriched"
"dctn1","Portal_endothelial_Cells","EC-enriched"
"htra2","Erythroid_Cells","Immune-enriched"
"dok1","Non-inflammatory_Macrophage","Immune-enriched"
"hk2","Inflammatory_Macrophage","Immune-enriched"
"reg1a","Cholangiocytes","Cholangiocyte-enriched"
"tmsb10","Non-inflammatory_Macrophage","Immune-enriched"
"tgoln2","Hepatocyte_4","Hepatocyte-enriched"
"capg","Inflammatory_Macrophage","Immune-enriched"
"vamp8","Non-inflammatory_Macrophage","Immune-enriched"
"vamp5","Central_venous_LSECs","EC-enriched"
"gnly","gamma-delta_T_Cells_1","Immune-enriched"
"immt","Erythroid_Cells","Immune-enriched"
"kdm3a","Erythroid_Cells","Immune-enriched"
"cd8a","alpha-beta_T_Cells","Immune-enriched"
"fabp1","Hepatocyte_6","Hepatocyte-enriched"
"eif2ak3","Hepatocyte_3","Hepatocyte-enriched"
"sema4c","Central_venous_LSECs","EC-enriched"
"cox5b","Hepatocyte_6","Hepatocyte-enriched"
"mitd1","Hepatocyte_6","Hepatocyte-enriched"
"txndc9","Erythroid_Cells","Immune-enriched"
"rnf149","Non-inflammatory_Macrophage","Immune-enriched"
"il1r2","Inflammatory_Macrophage","Immune-enriched"
"il1r1","Portal_endothelial_Cells","EC-enriched"
"il1rl2","Inflammatory_Macrophage","Immune-enriched"
