"protein_name","CellType","enriched"
"anxa3","Portal_endothelial_Cells","EC-enriched"
"enoph1","alpha-beta_T_Cells","Immune-enriched"
"sec31a","Hepatocyte_4","Hepatocyte-enriched"
"hpse","Non-inflammatory_Macrophage","Immune-enriched"
"sparcl1","Periportal_LSECs","EC-enriched"
"spp1","Cholangiocytes","Cholangiocyte-enriched"
"pkd2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"fam13a","Hepatocyte_2","Hepatocyte-enriched"
"snca","Erythroid_Cells","Immune-enriched"
"hpgds","Non-inflammatory_Macrophage","Immune-enriched"
"pdlim5","Hepatocyte_4","Hepatocyte-enriched"
"eif4e","Erythroid_Cells","Immune-enriched"
"metap1","Hepatocyte_6","Hepatocyte-enriched"
"adh4","Hepatocyte_6","Hepatocyte-enriched"
"adh1b","Hepatocyte_6","Hepatocyte-enriched"
"dapp1","Mature_B_Cells","Immune-enriched"
"dnajb14","NK-like_Cells","Immune-enriched"
"bank1","Mature_B_Cells","Immune-enriched"
"nfkb1","Inflammatory_Macrophage","Immune-enriched"
"tet2","Inflammatory_Macrophage","Immune-enriched"
"hadh","Hepatocyte_6","Hepatocyte-enriched"
"cfi","Hepatocyte_5","Hepatocyte-enriched"
